SubLocation,Country,latlon,place,sub_latlon,sub_place,FlighNumber
within ,Mexico,"(23.634501, -102.552784)",Mexico,"(37.7844467, -79.44325289999999)","9 W Nelson St, Lexington, VA 24450, USA",7728
Austin del Valle ,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(30.2091069, -97.6472349)","Del Valle, Austin, TX, USA",7729
Whidbey Island-NAS,United States of America,"(37.09024, -95.712891)",United States,"(48.3431564, -122.6810454)","3675 W Lexington Street, Bldg 2566, Oak Harbor, WA 98278, United States",7730
off Canton Island AirportCIS),Kiribati,"(1.8709422, -157.3628595)",Kiribati,"(-2.8039843, -171.6432353)","Kanton Island, Kiribati",7731
northeastern Burma,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(35.0760301, -106.5098636)","Burma Dr NE, Albuquerque, NM 87123, USA",7732
Castaic,United States of America,"(37.09024, -95.712891)",United States,"(34.4890363, -118.6256552)","Castaic, CA 91384, USA",7733
 Venice Airport,Italy,"(41.87194, 12.56738)",Italy,"(45.5028312, 12.3478246)","Venice Marco Polo Airport (VCE), Via Galileo Galilei, 30/1, 30173 Tessera, Venezia VE, Italy",7734
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7735
"Lake Ponchartrain, LA",United States of America,"(37.09024, -95.712891)",United States,"(30.205062, -90.11206960000001)","Lake Pontchartrain, Louisiana, USA",7736
 ice cap,Greenland,"(71.706936, -42.604303)",Greenland,"(33.8769977, -117.841959)","660 N Rose Dr, Placentia, CA 92870, USA",7737
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7738
Sookerating,India,"(20.593684, 78.96288)",India,"(27.5416338, 95.57847439999999)","Doom Dooma, Tara T.E. 2110/53 Wl, Assam 786151, India",7739
Port Moresby-Wards Airfield,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-9.441944000000001, 147.218889)","Jacksons International Airport, Morea-Tobo Rd, Port Moresby 121, Papua New Guinea",7740
Islay,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(55.7362535, -6.177067)","Islay, Isle of Islay, UK",7741
near Myakinino,Russia,"(61.52401, 105.318756)",Russia,"(55.82547599999999, 37.38537)","Myakinino, Moscow, Moskovskaya oblast', Russia, 125464",7742
Laurinburg-Maxton AAB,United States of America,"(37.09024, -95.712891)",United States,"(34.7867171, -79.36216399999999)","Laurinburg-Maxton Airport, 16701 Airport Rd, Maxton, NC 28364, USA",7743
Laurinburg-Maxton AAB,United States of America,"(37.09024, -95.712891)",United States,"(34.7867171, -79.36216399999999)","Laurinburg-Maxton Airport, 16701 Airport Rd, Maxton, NC 28364, USA",7744
NE of Chaparra,Peru,"(-9.189967, -75.015152)",Peru,"(32.0513075, -106.4288088)","Chaparral, NM 88081, USA",7745
"Parkton, NC",United States of America,"(37.09024, -95.712891)",United States,"(34.9026635, -79.0116971)","Parkton, NC 28371, USA",7746
S of Ledo,India,"(20.593684, 78.96288)",India,"(31.6225542, -84.18681579999999)","1822 Ledo Rd, Albany, GA 31707, USA",7747
Karachi,Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(24.8614622, 67.0099388)","Karachi, Pakistan",7748
Karachi,Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(24.8614622, 67.0099388)","Karachi, Pakistan",7749
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7750
Newbury-Greenham Common RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.3788184, -1.2807903)","Greenham, Thatcham RG19 6HN, UK",7751
Western Approaches,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(53.4074666, -2.9930372)","1-3 Rumford St, Merseyside, Liverpool L2 8SZ, UK",7752
 Tontouta and Espiritu Santo,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,7753
near Finschhafen Airport,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-6.444774799999999, 147.5146294)","Pindiu Airport, Pindiu, Papua New Guinea",7754
N of Mohanbari,India,"(20.593684, 78.96288)",India,"(27.0897099, 75.6935323)","Mohanbari, Rajasthan 303701, India",7755
El Prat de Llobregat,Spain,"(40.46366700000001, -3.74922)",Spain,"(41.3120158, 2.0959429)","El Prat de Llobregat, Barcelona, Spain",7756
off ,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(59.9154215, 30.3421072)","Obvodniy channel embankment, 60, Sankt-Peterburg, Ленинградская область, Russia, 192007",7757
Flagstaff,United States of America,"(37.09024, -95.712891)",United States,"(35.1982836, -111.651302)","Flagstaff, AZ, USA",7758
Austin del Valle ,United States of America,"(37.09024, -95.712891)",United States,"(30.2091069, -97.6472349)","Del Valle, Austin, TX, USA",7759
Ukiah,United States of America,"(37.09024, -95.712891)",United States,"(39.1501709, -123.2077831)","Ukiah, CA 95482, USA",7760
near Wau AirportWUG),Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(33.9397048, -118.4221176)","Los Angeles International Airport (LAX), 7300 World Way W, Los Angeles, CA 90045, USA",7761
near Wau AirportWUG),Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(33.9397048, -118.4221176)","Los Angeles International Airport (LAX), 7300 World Way W, Los Angeles, CA 90045, USA",7762
"Elizabeth City, NC",United States of America,"(37.09024, -95.712891)",United States,"(36.2946008, -76.2510461)","Elizabeth City, NC 27909, USA",7763
Alness,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(57.695955, -4.256825)","Alness, UK",7764
"off Brunswick, GA, USA",Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(31.3640476, -81.5978037)","Cut Off Rd, Brunswick, GA 31525, USA",7765
"off Brunswick, GA, USA",Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(31.3640476, -81.5978037)","Cut Off Rd, Brunswick, GA 31525, USA",7766
Port Moresby Seven Mile AerodromePOM ,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,7767
Biskra Airport,Algeria,"(28.033886, 1.659626)",Algeria,"(34.7919393, 5.733579799999999)","Biskra Airport (BSK), Biskra, Algeria",7768
Paramaribo,Suriname,"(3.919305, -56.027783)",Suriname,"(5.8520355, -55.2038278)","Paramaribo, Suriname",7769
Reykjavik Airfield,Iceland,"(64.963051, -19.020835)",Iceland,"(64.1318703, -21.9466063)","Reykjavik Domestic Airport, Reykjavíkurflugvöllur, Þorragata 10, 101 Reykjavík, Iceland",7770
Aguelhok,Mali,"(17.570692, -3.996166)",Mali,"(19.4640568, 0.8567905)","Aguelhok, Mali",7771
Bhagalpur,India,"(20.593684, 78.96288)",India,"(25.3478004, 86.9824288)","Bhagalpur, Bihar, India",7772
at an unknown location,China,"(35.86166, 104.195397)",China,"(35.86166, 104.195397)",China,7773
"Attu, AK",United States of America,"(37.09024, -95.712891)",United States,"(52.87631, 172.8904825)","Attu Island, Alaska, USA",7774
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7775
 Kelai Island,Maldives,"(1.9772276, 73.536101)",Maldives,"(1.9772276, 73.536101)",Maldives,7776
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7777
near Lhasa,China,"(35.86166, 104.195397)",China,"(29.652491, 91.17210999999999)","Lhasa, Tibet, China",7778
Sioux City ,United States of America,"(37.09024, -95.712891)",United States,"(42.4999942, -96.40030689999999)","Sioux City, IA, USA",7779
"Blue Stack Mountains, Donegal",Ireland,"(53.1423672, -7.692053599999999)",Ireland,"(54.7575, -7.971388999999999)","Blue Stack Mountains, Cloghervaddy, Co. Donegal, Ireland",7780
Yankai,China,"(35.86166, 104.195397)",China,"(22.203997, 113.5474371)","Edificio Yan Kai, Av. do Ouvidor Arriaga, Macau",7781
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7782
Goliang,India,"(20.593684, 78.96288)",India,"(-0.5003042, 102.0661154)","Sungai Golang, Kelayang, Indragiri Hulu Regency, Riau, Indonesia",7783
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7784
"near Sedalia, MO",United States of America,"(37.09024, -95.712891)",United States,"(38.7044609, -93.2282613)","Sedalia, MO 65301, USA",7785
Puck,Poland,"(51.919438, 19.145136)",Poland,"(54.71804770000001, 18.4086339)","Puck, Poland",7786
Sania Marez,India,"(20.593684, 78.96288)",India,"(20.593684, 78.96288)",India,7787
NE of Rilu,India,"(20.593684, 78.96288)",India,"(29.57, 81.32)","Rilu 10500, Nepal",7788
Khargpur,India,"(20.593684, 78.96288)",India,"(22.34601, 87.2319753)","Kharagpur, West Bengal, India",7789
 Marinella,Italy,"(41.87194, 12.56738)",Italy,"(41.0025552, 9.5631755)","Marinella OT, Italy",7790
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7791
,Taiwan,"(23.69781, 120.960515)",Taiwan,"(18.7756318, 100.7730417)","Nan, Thailand",7792
Pensacola NAS,United States of America,"(37.09024, -95.712891)",United States,"(30.35567399999999, -87.2883339)","Pensacola NAS DRMO, 280 Taylor Rd, Pensacola, FL 32508, USA",7793
"Aakenustunturi, Lapland",Finland,"(61.92410999999999, 25.748151)",Finland,"(67.6833333, 24.5166667)","Aakenustunturi, 99100 Kittilä, Finland",7794
Accra AirportACC),Ghana,"(7.946527, -1.023194)",Ghana,"(5.606095499999999, -0.1681235)","Kotoka International Airport, Airport Rd, Accra, Ghana",7795
 Perth,Australia,"(-25.274398, 133.775136)",Australia,"(-31.9505269, 115.8604572)","Perth WA, Australia",7796
Port Moresby-Wards Airfield,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-9.441944000000001, 147.218889)","Jacksons International Airport, Morea-Tobo Rd, Port Moresby 121, Papua New Guinea",7797
near Tezpur AirportTEZ),India,"(20.593684, 78.96288)",India,"(26.7083045, 92.7673983)","Tezpur Airport, P.O.- Haleswar, Tezpur, Assam 784104, India",7798
 Tontouta & Espiritu Santo,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,7799
"Oakland Municipal Airport, CAOAK)",United States of America,"(37.09024, -95.712891)",United States,"(37.7125689, -122.2197428)","Oakland International Airport (OAK), 1 Airport Dr, Oakland, CA 94621, USA",7800
off Bermuda,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(36.0103279, -80.4260019)","120 Kinderton Blvd # 100, Advance, NC 27006, USA",7801
"Tagus River, off Lisbon",Portugal,"(39.39987199999999, -8.224454)",Portugal,"(38.7222524, -9.1393366)","Lisbon, Portugal",7802
"Cooktown Airport, QLDCTN)",Australia,"(-25.274398, 133.775136)",Australia,"(-15.4450068, 145.1845469)","Cooktown Airport (CTN), Cooktown Developmental Road, Cooktown QLD 4895, Australia",7803
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7804
"near Gander Lake, NF",Canada,"(56.130366, -106.346771)",Canada,"(48.9297088, -54.75610349999999)","Gander Lake, Newfoundland and Labrador, Canada",7805
Chabua Airfield,India,"(20.593684, 78.96288)",India,"(27.462778, 95.118332)","Air Force Base, AT Road, Nahartoli T.E. Grant, Assam 786102, India",7806
"Jacksonville, FL",United States of America,"(37.09024, -95.712891)",United States,"(30.3321838, -81.65565099999999)","Jacksonville, FL, USA",7807
Heliopolis,Egypt,"(26.820553, 30.802498)",Egypt,"(36.502001, 7.4327273)","Heliopolis, Algeria",7808
,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(18.7756318, 100.7730417)","Nan, Thailand",7809
off Port Said,Egypt,"(26.820553, 30.802498)",Egypt,"(31.271106, 32.275344)",Ard El Gabal، EL MANAKH DISTRICT، قسم المناخ، بور سعيد، Egypt,7810
"Aleutians, AK",United States of America,"(37.09024, -95.712891)",United States,"(54.47998490000001, -164.5534196)","Aleutian Islands, Alaska, USA",7811
near Plocicz,Poland,"(51.919438, 19.145136)",Poland,"(53.49847150000001, 17.503752)","Płocicz, Poland",7812
South Pacific,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(29.8430091, -95.1778733)","S Pacific St, Houston, TX 77049, USA",7813
Mano,United States of America,"(37.09024, -95.712891)",United States,"(39.9671933, -75.1753225)","2244 Fairmount Ave, Philadelphia, PA 19130, USA",7814
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7815
Himalaya Mountains,China,"(35.86166, 104.195397)",China,"(28.5983159, 83.9310623)",Himalayas,7816
Espirítu Santo,Vanuatu,"(-15.376706, 166.959158)",Vanuatu,"(-15.3003549, 166.9182097)","Espiritu Santo, Vanuatu",7817
"Richmond Central Airport, VA",United States of America,"(37.09024, -95.712891)",United States,"(37.4065035, -77.5193479)","7427 Airfield Dr, Richmond, VA 23237, USA",7818
"Richmond Central Airport, VA",United States of America,"(37.09024, -95.712891)",United States,"(37.4065035, -77.5193479)","7427 Airfield Dr, Richmond, VA 23237, USA",7819
Gioia del Colle Air Base,Italy,"(41.87194, 12.56738)",Italy,"(40.7828166, 16.9320566)","Aeroporto 36° Stormo Antonio Ramirez, Via Federico II di Svevia, 6738, 70023 Gioia del Colle BA, Italy",7820
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7821
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7822
Wadi Seidna,Sudan,"(12.862807, 30.217636)",Sudan,"(15.817361, 32.515999)","Wadi sayidna airbase, Sudan",7823
near Mendoza-El Plumerillo Airport,Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-32.8278642, -68.7984902)","Governor Francisco Gabrielli International Airport, RN40 Km. 15; J5539,, Acceso Norte RN40 Km. 15, J5539 Las Heras, Mendoza, Argentina",7824
Beane   ,Saint Lucia,"(13.909444, -60.978893)",St Lucia,"(32.7816077, -96.79642899999999)","1717 Main St #3700, Dallas, TX 75201, USA",7825
Chabua Airfield,India,"(20.593684, 78.96288)",India,"(27.462778, 95.118332)","Air Force Base, AT Road, Nahartoli T.E. Grant, Assam 786102, India",7826
within ,China,"(35.86166, 104.195397)",China,"(37.7844467, -79.44325289999999)","9 W Nelson St, Lexington, VA 24450, USA",7827
"Pensacola Bay, FL ",United States of America,"(37.09024, -95.712891)",United States,"(30.4159301, -87.1323139)","Pensacola Bay, Florida, USA",7828
Fort Hertz ,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(40.53132799999999, -105.076105)","4020 S College Ave B7, Fort Collins, CO 80525, USA",7829
within ,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(37.7844467, -79.44325289999999)","9 W Nelson St, Lexington, VA 24450, USA",7830
"Rose Bay, Sydney, NSW",Australia,"(-25.274398, 133.775136)",Australia,"(-33.8754209, 151.265623)","Rose Bay NSW 2029, Australia",7831
Fort Hertz ,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(40.53132799999999, -105.076105)","4020 S College Ave B7, Fort Collins, CO 80525, USA",7832
"Oakland, CA",United States of America,"(37.09024, -95.712891)",United States,"(37.8043637, -122.2711137)","Oakland, CA, USA",7833
near Yunnanyi,China,"(35.86166, 104.195397)",China,"(25.387923, 100.686412)","Yunnanyizhen, Xiangyun, Dali, Yunnan, China",7834
 Bangui,Central African Republic,"(6.611110999999999, 20.939444)",Central African Republic,"(4.3946735, 18.5581899)","Bangui, Central African Republic",7835
 Azores Islands,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(37.744506, -25.647625)","Rua Praia dos Santos 2, 9500-706 Ponta Delgada, Portugal",7836
"off Adak Island NAS, AKADK)",Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(51.7615874, -176.6217472)","Adak Island, Alaska, USA",7837
Yunnanyi,China,"(35.86166, 104.195397)",China,"(25.387923, 100.686412)","Yunnanyizhen, Xiangyun, Dali, Yunnan, China",7838
near Casablanca,Morocco,"(31.791702, -7.092619999999999)",Morocco,"(33.5731104, -7.589843399999999)","Casablanca, Morocco",7839
Kunming,China,"(35.86166, 104.195397)",China,"(24.880095, 102.832891)","Kunming, Yunnan, China",7840
Beograd-Zemun Airfeld,Serbia,"(44.016521, 21.005859)",Serbia,"(44.8765011, 20.305774)","Zemun Polje Airport, Beograd, Serbia",7841
Sookerating,India,"(20.593684, 78.96288)",India,"(27.5416338, 95.57847439999999)","Doom Dooma, Tara T.E. 2110/53 Wl, Assam 786151, India",7842
Owi Island,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-1.2415682, 136.2043714)","Owi Island, East Biak, Biak Numfor Regency, Papua, Indonesia",7843
"Escambia Bay, FL",United States of America,"(37.09024, -95.712891)",United States,"(30.5080123, -87.1323139)","Escambia Bay, Florida, USA",7844
Borizzo,Italy,"(41.87194, 12.56738)",Italy,"(41.87194, 12.56738)",Italy,7845
South Pacific,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(29.8430091, -95.1778733)","S Pacific St, Houston, TX 77049, USA",7846
between Florida and Puerto Rico,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(27.217431, -82.48463)","9001 Huntington Pointe Dr, Sarasota, FL 34238, USA",7847
Svoryn,Belarus,"(53.709807, 27.953389)",Belarus,"(53.709807, 27.953389)",Belarus,7848
Indochina,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(14.7145173, 102.0718281)",Indochina,7849
Saidor,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-5.627513, 146.456894)","Saidor, Papua New Guinea",7850
Grindon ,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(55.697365, -2.137512)","Grindon, Berwick-upon-Tweed TD15, UK",7851
Mekong River Valley,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(17.9655707, 102.5985959)","Quai Fa Ngum, Vientiane, Laos",7852
Monte Tezio,Italy,"(41.87194, 12.56738)",Italy,"(43.2, 12.35)","Monte Tezio, 06131 Perugia PG, Italy",7853
"Nowgong, Assam",India,"(20.593684, 78.96288)",India,"(26.3463713, 92.6840426)","Nagaon, Assam, India",7854
10 km6.3 mls) off  Lae,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(28.5255461, 77.254502)","E-1,G-4,Alaknanda Market, DDA Flats Kalkaji, Alaknanda Market, Kalkaji, New Delhi, Delhi 110019, India",7855
Espirítu Santo-Pekoa FieldSON),Vanuatu,"(-15.376706, 166.959158)",Vanuatu,"(-15.5054118, 167.219678)","Santo-Pekoa International Airport (SON), Luganville, Vanuatu",7856
El Khroub  ,Algeria,"(28.033886, 1.659626)",Algeria,"(36.2714408, 6.685198199999999)","El Khroub, Algeria",7857
 Guadalcanal and Espiritu Santo,Solomon Islands,"(-9.64571, 160.156194)",Solomon Islands,"(38.0967272, -5.8190323)","Calle Espíritu Santo, 41390 Guadalcanal, Sevilla, Spain",7858
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7859
"Alliance AAF, NEAIA)",United States of America,"(37.09024, -95.712891)",United States,"(45.52255, -122.675918)","111 SW 5th Ave #2660, Portland, OR 97204, USA",7860
Port Lyautey NNA ,Morocco,"(31.791702, -7.092619999999999)",Morocco,"(34.298611, -6.594722)","Military airport in Kenitra (NNA), Kénitra, Morocco",7861
"near Boa Island, Lough Erne",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(54.51666669999999, -7.8333333)","Boa Island, Enniskillen BT93, UK",7862
"Clarence, NY",United States of America,"(37.09024, -95.712891)",United States,"(42.982216, -78.5770812)","Clarence, NY, USA",7863
Amchitka Airport,United States of America,"(37.09024, -95.712891)",United States,"(51.5005849, 179.0409225)","Amchitka Island, Alaska, USA",7864
Tibual,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(-29.7179748, 31.0804684)","Tibia Cres, Umhlanga, 4319, South Africa",7865
Bay of Biscay,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(45.5570384, -3.1632157)",Bay of Biscay,7866
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7867
Treasury Island,Solomon Islands,"(-9.64571, 160.156194)",Solomon Islands,"(-7.352925699999999, 155.5470208)","Mono Island, Solomon Islands",7868
"Agate, NE",United States of America,"(37.09024, -95.712891)",United States,"(42.4199638, -103.7938264)","Agate, NE 69346, USA",7869
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7870
JorhatJRH),India,"(20.593684, 78.96288)",India,"(26.7346782, 94.18474499999999)","Jorhat Airport (JRH), Airport Rd, Raraiyah, Sensowa Gaon, Assam 785006, India",7871
Macon,United States of America,"(37.09024, -95.712891)",United States,"(32.8406946, -83.6324022)","Macon, GA, USA",7872
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7873
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7874
Sookerating,India,"(20.593684, 78.96288)",India,"(27.5416338, 95.57847439999999)","Doom Dooma, Tara T.E. 2110/53 Wl, Assam 786151, India",7875
"Los Angeles-Mines Field, CALAX)",United States of America,"(37.09024, -95.712891)",United States,"(33.9415889, -118.40853)","Los Angeles International Airport (LAX), 1 World Way, Los Angeles, CA 90045, USA",7876
Likiang Mt.,China,"(35.86166, 104.195397)",China,"(27.0983333, 100.175)","Yulong Snow Mountain, Yulong, Lijiang, China",7877
Namtu,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(23.0929613, 97.39758450000001)","Namtu, Myanmar (Burma)",7878
Comilla Airport,Bangladesh,"(23.684994, 90.356331)",Bangladesh,"(24.0629506, 91.602764)","Khowai Airport, Kali Road, Khowai, Tripura 799202, India",7879
Reykjavik,Iceland,"(64.963051, -19.020835)",Iceland,"(64.12652059999999, -21.8174393)","Reykjavík, Iceland",7880
North Sea,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(56.511018, 3.515625)",North Sea,7881
Kunming-Wujiaba AirfieldKMG),China,"(35.86166, 104.195397)",China,"(25.1013395, 102.9349191)","Kunming Changshui International Airport (KMG), 长水村 Guandu Qu, Kunming Shi, Yunnan Sheng, China",7882
Hsinching A 1 ,China,"(35.86166, 104.195397)",China,"(40.7248688, -73.9968682)","594 Broadway, New York, NY 10012, USA",7883
Chanyi,China,"(35.86166, 104.195397)",China,"(42.7778936, -80.4159603)","1606 Mc Donald Rd 1 E, Simcoe, ON N3Y 4K5, Canada",7884
Châteaudun Advanced Landing Ground A 39,France,"(46.227638, 2.213749)",France,"(48.06681, 1.366838)","Route d'Orléans, 28200 Châteaudun, France",7885
"Ledo, Assam",India,"(20.593684, 78.96288)",India,"(27.288237, 95.680639)","Ledo, Assam 786182, India",7886
unknown,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,7887
Samar Island,Philippines,"(12.879721, 121.774017)",Philippines,"(12.2445533, 125.0388164)","Samar Island, Philippines",7888
off Hawaii,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(19.903797, -155.136609)","Botanical World Adventures Hawaii Zip Line, Segway Off-Road, Botanical Gardens, Maze and Waterfalls, 31-240 Old Mamalahoa Hwy, Hakalau, HI 96710, USA",7889
off Hawaii,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(19.903797, -155.136609)","Botanical World Adventures Hawaii Zip Line, Segway Off-Road, Botanical Gardens, Maze and Waterfalls, 31-240 Old Mamalahoa Hwy, Hakalau, HI 96710, USA",7890
at an unknown location,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(21.916221, 95.955974)",Myanmar (Burma),7891
at an unknown location,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(21.916221, 95.955974)",Myanmar (Burma),7892
Imphal/Tulihal AirportIMG),India,"(20.593684, 78.96288)",India,"(24.7644009, 93.8972715)","Imphal International Airport, NH 150, Imphal, Manipur 795140, India",7893
BhamoBMO ,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(21.916221, 95.955974)",Myanmar (Burma),7894
Unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA",7895
Kunming,China,"(35.86166, 104.195397)",China,"(24.880095, 102.832891)","Kunming, Yunnan, China",7896
Kunming,China,"(35.86166, 104.195397)",China,"(24.880095, 102.832891)","Kunming, Yunnan, China",7897
Brownfield,United States of America,"(37.09024, -95.712891)",United States,"(33.1812035, -102.2743489)","Brownfield, TX 79316, USA",7898
Kunming-Wujiaba AirfieldKMG),China,"(35.86166, 104.195397)",China,"(25.1013395, 102.9349191)","Kunming Changshui International Airport (KMG), 长水村 Guandu Qu, Kunming Shi, Yunnan Sheng, China",7899
Tacloban AirportTAC),Philippines,"(12.879721, 121.774017)",Philippines,"(11.2267334, 125.0261242)","DANIEL Z. ROMUALDEZ AIRPORT (TAC), Airport Road,Tacloban City 6500,Leyte, Philippines",7900
at an unknown location,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,7901
Chanyi,China,"(35.86166, 104.195397)",China,"(42.7778936, -80.4159603)","1606 Mc Donald Rd 1 E, Simcoe, ON N3Y 4K5, Canada",7902
SE of Stalinabad,Tajikistan,"(38.861034, 71.276093)",Tajikistan,"(42.75295999999999, 68.39924599999999)","Stalinabad, Shaulder, Kazakhstan",7903
off Sumba Island,Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-9.699343899999999, 119.9740534)","Sumba, East Nusa Tenggara, Indonesia",7904
Agartala AirportIXA),India,"(20.593684, 78.96288)",India,"(23.8927444, 91.24425699999999)","Agartala Airport, Airport Road, Agartala, Tripura 799009, India",7905
 Kambaiti,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(21.916221, 95.955974)",Myanmar (Burma),7906
Saratov Zavodskoy ,Russia,"(61.52401, 105.318756)",Russia,"(51.4642601, 45.9232905)","Zavodskoy rayon, Saratov, Saratovskaya oblast', Russia",7907
