SubLocation,Country,latlon,place,sub_latlon,sub_place
"2,4 km1.5 mls) W of Colyton",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"56 km35 mls) W off  Oregon, USA",Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,,
"24 km15 mls) NW of Honolulu, HI",United States of America,"(37.09024, -95.712891)",United States,,
"near Springfield, MO",United States of America,"(37.09024, -95.712891)",United States,,
Beauvais-Tillé AirportBVA),France,"(46.227638, 2.213749)",France,,
Salisbury-Belvedere,Zimbabwe,"(-19.015438, 29.154857)",Zimbabwe,,
3 km1.9 mls) from  Nairobi,Kenya,"(-0.023559, 37.906193)",Kenya,,
3 km1.9 mls) from  Nairobi,Kenya,"(-0.023559, 37.906193)",Kenya,,
near Phonesavanh Airport,Laos,"(19.85627, 102.495496)",Laos,,
Jerez De La Frontera Air BaseXRY),Spain,"(40.46366700000001, -3.74922)",Spain,,
"near Cullman, AL",United States of America,"(37.09024, -95.712891)",United States,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
"Boca Raton Public Airport, FLBCT)",United States of America,"(37.09024, -95.712891)",United States,,
near Thazi,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
Karachi-Drigh Road Airforce Station,Pakistan,"(30.375321, 69.34511599999999)",Pakistan,,
Al Mahfid Airport,Yemen,"(15.552727, 48.516388)",Yemen,,
175 km109.4 mls) E of Batagay,Russia,"(61.52401, 105.318756)",Russia,,
"Quantico, VA ?",United States of America,"(37.09024, -95.712891)",United States,,
Inland Sea,Japan,"(36.204824, 138.252924)",Japan,,
"5 km3.1 mls) NE of Pavín, CD",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
Shannon AirportSNN),Ireland,"(53.1423672, -7.692053599999999)",Ireland,"(52.6996573, -8.914691099999999)","Shannon Airport (SNN), Lismacleane, Co. Clare, Ireland"
"King Salmon Airport, AKAKN)",United States of America,"(37.09024, -95.712891)",United States,,
49 km30.6 mls) from  Khartoum,Sudan,"(12.862807, 30.217636)",Sudan,,
6 km3.8 mls) from  Rio Martil,Spain,"(40.46366700000001, -3.74922)",Spain,,
30 km18.8 mls) S of Stavropol,Russia,"(61.52401, 105.318756)",Russia,,
"Rupert House, QC",Canada,"(56.130366, -106.346771)",Canada,,
off Charlakhi Island,Bangladesh,"(23.684994, 90.356331)",Bangladesh,,
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
near Guarne,Colombia,"(4.570868, -74.297333)",Colombia,,
"Cape Parry, NWT",Canada,"(56.130366, -106.346771)",Canada,,
"Horn Island Airport, QLDHID)",Australia,"(-25.274398, 133.775136)",Australia,,
"Port Hardy Airport, BCYZT)",Canada,"(56.130366, -106.346771)",Canada,,
"near Clarksburg, MD",United States of America,"(37.09024, -95.712891)",United States,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
Bouinane,Algeria,"(28.033886, 1.659626)",Algeria,,
Panagarh Airport,India,"(20.593684, 78.96288)",India,,
Panagarh,India,"(20.593684, 78.96288)",India,,
off Romanshorn [Bodensee],Switzerland,"(46.818188, 8.227511999999999)",Switzerland,,
Kikori River,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,,
near Moskva-Vnukovo AirportVKO),Russia,"(61.52401, 105.318756)",Russia,,
Beihan AirportBHN),Yemen,"(15.552727, 48.516388)",Yemen,,
Adana,Turkey,"(38.963745, 35.243322)",Turkey,,
Albertville AirportFMI)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA",,
Budapest-Ferihegy AirportBUD),Hungary,"(47.162494, 19.503304)",Hungary,,
"near McGrath, AK",United States of America,"(37.09024, -95.712891)",United States,,
near Aras de Alpuente,Spain,"(40.46366700000001, -3.74922)",Spain,,
ChungjuK-41) Air Base,South Korea,"(35.907757, 127.766922)",South Korea,,
ChungjuK-41) Air Base,South Korea,"(35.907757, 127.766922)",South Korea,,
"Chicago-Midway Airport, ILMDW)",United States of America,"(37.09024, -95.712891)",United States,"(41.78677589999999, -87.7521884)","Chicago Midway International Airport (MDW), 5700 S Cicero Ave, Chicago, IL 60638, USA"
"Great Slave Lake, NWT",Canada,"(56.130366, -106.346771)",Canada,,
La Paz-El Alto AirportLPB),Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,,
"Itaquaquecetuba, SP",Brazil,"(-14.235004, -51.92528)",Brazil,,
"near Camden Airport, NSWCDU)",Australia,"(-25.274398, 133.775136)",Australia,,
Burtonwood RAF StationBUT),United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"19 km11.9 mls) NE of Hachita, NM",United States of America,"(37.09024, -95.712891)",United States,,
off Grand Cayman Island,Cayman Islands,"(19.3133, -81.2546)",Cayman Islands,,
off -Changi RAF Station,Singapore,"(1.352083, 103.819836)",Singapore,,
Andapa,Madagascar,"(-18.766947, 46.869107)",Madagascar,,
ca 6 km SE of Bogotá-Techo Airport,Colombia,"(4.570868, -74.297333)",Colombia,,
off Calshot,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
off Calshot,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
20 km12.5 mls) NE of Cagliari-Elmas AirportCAG),Italy,"(41.87194, 12.56738)",Italy,,
3 km1.9 mls) SW of Kazan AirportKZN),Russia,"(61.52401, 105.318756)",Russia,,
3 km1.9 mls) SW of Kazan AirportKZN),Russia,"(61.52401, 105.318756)",Russia,,
near Batagay Airport,Russia,"(61.52401, 105.318756)",Russia,,
"Hollywood-Lockheed Air Terminal, CABUR)",United States of America,"(37.09024, -95.712891)",United States,,
Madeira,Portugal,"(39.39987199999999, -8.224454)",Portugal,,
Indo-China,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
Swinderby RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
near Berlin-Tempelhof,Germany,"(51.165691, 10.451526)",Germany,,
off Shantou [Formosa Strait],China,"(35.86166, 104.195397)",China,,
48 km30 mls) SW of Chaumont,France,"(46.227638, 2.213749)",France,,
"1,5 km0.9 mls) E of Stephenville-Ernest Harmon AFB, NFYJT)",Canada,"(56.130366, -106.346771)",Canada,,
"46 km28.8 mls) SW off  Agrigento, Italy",Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea,,
at an unknown location,,,,,
"5,6 km3.5 mls) WSW of Shallufa RAF Station",Egypt,"(26.820553, 30.802498)",Egypt,,
"5,6 km3.5 mls) WSW of Shallufa RAF Station",Egypt,"(26.820553, 30.802498)",Egypt,,
near Jönköping Airport,Sweden,"(60.12816100000001, 18.643501)",Sweden,,
Myeik,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
"3 km1.9 mls) S of Issaquah, WA",United States of America,"(37.09024, -95.712891)",United States,,
"13 km8.1 mls) W of Fish Haven, ID",United States of America,"(37.09024, -95.712891)",United States,,
Belfast-Nutts Corner Airport,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
"27,5 km17.2 mls) from  Dhahran",Saudi Arabia,"(23.885942, 45.079162)",Saudi Arabia,,
"13 km8.1 mls) W of Raleigh, NC",United States of America,"(37.09024, -95.712891)",United States,,
Severn Estuary,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
Mukeiras AirportUKR),Yemen,"(15.552727, 48.516388)",Yemen,,
S off Hokkaido,Japan,"(36.204824, 138.252924)",Japan,,
at an unknown location,United States of America,"(37.09024, -95.712891)",United States,,
near Apiay Air BaseAPI),Colombia,"(4.570868, -74.297333)",Colombia,,
Dien Bien Phu,Vietnam,"(14.058324, 108.277199)",Vietnam,,
near Bogotá-Techo Airport,Colombia,"(4.570868, -74.297333)",Colombia,,
Angle Bay,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"NW of Barbers Point NAS, HI",United States of America,"(37.09024, -95.712891)",United States,,
5 km3.1 mls) NNE Hullavington RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"3,2 km2 mls) SSW of Lyneham-RAF StationLYE)",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"Kansas City, MO",United States of America,"(37.09024, -95.712891)",United States,,
"near Buffalo, NY",United States of America,"(37.09024, -95.712891)",United States,,
at an unknown location,,,,,
Topcliffe RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
6 km3.8 mls) E of Roma-Ciampino AirportCIA),Italy,"(41.87194, 12.56738)",Italy,,
12 km7.5 mls) W of Tsaghkashen,Armenia,"(40.069099, 45.038189)",Armenia,,
12 km7.5 mls) W of Tsaghkashen,Armenia,"(40.069099, 45.038189)",Armenia,,
Manizales,Colombia,"(4.570868, -74.297333)",Colombia,,
"16 km10 mls) SE of Shreveport, LA",United States of America,"(37.09024, -95.712891)",United States,,
16 km10 mls) S off  Elba,Italy,"(41.87194, 12.56738)",Italy,,
"near Aldbury, Hertfordshire",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"Pittsburgh-Greater Pittsburgh Airport, PAPIT)",United States of America,"(37.09024, -95.712891)",United States,,
20 km12.5 mls) WNW of Talpa de Allende Airport,Mexico,"(23.634501, -102.552784)",Mexico,,
20 km12.5 mls) WNW of Talpa de Allende Airport,Mexico,"(23.634501, -102.552784)",Mexico,,
Cerro Trujillo,Colombia,"(4.570868, -74.297333)",Colombia,,
Cerro Trujillo,Colombia,"(4.570868, -74.297333)",Colombia,,
near Ciudad de Valles,Mexico,"(23.634501, -102.552784)",Mexico,,
near Ciudad de Valles,Mexico,"(23.634501, -102.552784)",Mexico,,
32 km20 mls) NW of Taitung,Taiwan,"(23.69781, 120.960515)",Taiwan,,
"Vitoria da Conquista Airport, BAVDC)",Brazil,"(-14.235004, -51.92528)",Brazil,,
"Hagerstown-Wash. County Regional Airport, MDHGR)",United States of America,"(37.09024, -95.712891)",United States,,
"near Kepino, Arkhangelsk Region",Russia,"(61.52401, 105.318756)",Russia,,
Boscombe Down RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
33 km20.6 mls) N of Ashiya Air Base,Japan,"(36.204824, 138.252924)",Japan,,
"55,6 km34.8 mls) NW of Anchorage-Elmendorf AFB, AKEDF)",United States of America,"(37.09024, -95.712891)",United States,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
Monte Terminillo,Italy,"(41.87194, 12.56738)",Italy,,
84 km52.5 mls) NW of Calabar,Nigeria,"(9.081999, 8.675277)",Nigeria,,
Nagpur,India,"(20.593684, 78.96288)",India,,
La Pedrera AirportLPD),Colombia,"(4.570868, -74.297333)",Colombia,,
Salisbury AirportHRE),Zimbabwe,"(-19.015438, 29.154857)",Zimbabwe,,
Niigata Air BaseKIJ),Japan,"(36.204824, 138.252924)",Japan,,
off Ocean Weather Station Echo [35°N 48°W],Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
"near Lipovec, Kagarlyksky District",Ukraine,"(48.379433, 31.16558)",Ukraine,,
"near Lipovec, Kagarlyksky District",Ukraine,"(48.379433, 31.16558)",Ukraine,,
"0,8 km0.5 mls) from  Chattanooga-Lovell Field, TNCHA)",United States of America,"(37.09024, -95.712891)",United States,,
Guwahati,India,"(20.593684, 78.96288)",India,,
"112 km70 mls) SW off  Stephenville, NF, Canada",Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
London AirportLHR),United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"Crumlin, ON",Canada,"(56.130366, -106.346771)",Canada,,
Moscow Region,Russia,"(61.52401, 105.318756)",Russia,,
Largo di Salerno,Italy,"(41.87194, 12.56738)",Italy,,
"4 km2.5 mls) W of Cincinnati/Northern Kentucky Airport, KYCVG)",United States of America,"(37.09024, -95.712891)",United States,,
"4 km2.5 mls) W of Cincinnati/Northern Kentucky Airport, KYCVG)",United States of America,"(37.09024, -95.712891)",United States,,
"8 km5 mls) NE of Smyrna-Sewart AFB, TNMQY)",United States of America,"(37.09024, -95.712891)",United States,,
"21 km13.1 mls) NE of Albuquerque Municipal Airport, NMABQ)",United States of America,"(37.09024, -95.712891)",United States,,
"S off Fastnet Rock, Ireland",Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
"S off Fastnet Rock, Ireland",Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
Ingolstadt Air Base,Germany,"(51.165691, 10.451526)",Germany,,
"ca 2 km S of Fort Dix-McGuire AFB, NJWRI)",United States of America,"(37.09024, -95.712891)",United States,,
"3 km1.9 mls) from  Marabá, PA",Brazil,"(-14.235004, -51.92528)",Brazil,,
"Flat Rock, MI",United States of America,"(37.09024, -95.712891)",United States,,
"near Rio Branco Airport, ACRBR)",Brazil,"(-14.235004, -51.92528)",Brazil,,
"72 km45 mls) NE of Goose Bay, NF",Canada,"(56.130366, -106.346771)",Canada,,
"Coral Harbour Airport, NUYZS)",Canada,"(56.130366, -106.346771)",Canada,,
near Lom,Slovakia,"(48.669026, 19.699024)",Slovakia,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
"Grand Canyon, AZ",United States of America,"(37.09024, -95.712891)",United States,,
"Grand Canyon, AZ",United States of America,"(37.09024, -95.712891)",United States,,
"3 km1.9 mls) from  Resistencia Airport, CHRES)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
"65 km40.6 mls) SE off  New York, NY",Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
"near Townsend, MT",United States of America,"(37.09024, -95.712891)",United States,,
nr Jijel,Algeria,"(28.033886, 1.659626)",Algeria,,
"Hudson Bay, SK",Canada,"(56.130366, -106.346771)",Canada,,
Enewetak Island AirportENT),Marshall Islands,"(11.3246908, 166.8417424)",Marshall Islands,,
near Ipoh,Malaysia,"(4.210484, 101.975766)",Malaysia,,
Vientiane-Wattay AirportVTE),Laos,"(19.85627, 102.495496)",Laos,,
"Beaverlodge Lake, NWT",Canada,"(56.130366, -106.346771)",Canada,,
Sierra de Las Minas,Guatemala,"(15.783471, -90.23075899999999)",Guatemala,,
Ahmedabad AirportAMD),India,"(20.593684, 78.96288)",India,,
"São Paulo-Congonhas Airport, SPCGH)",Brazil,"(-14.235004, -51.92528)",Brazil,"(-23.6273246, -46.6565842)","Congonhas-São Paulo Airport (CGH) - Av. Washington Luís, s/nº - Vila Congonhas, São Paulo - SP, 04626-911, Brazil"
Kathmandu-Tribhuvan AirportKTM),Nepal,"(28.394857, 84.12400799999999)",Nepal,"(27.6980899, 85.3592231)","Tribhuvan International Airport (KTM), Ring Rd, Kathmandu 44600, Nepal"
"Villa Tesei, BA",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
London-Stansted AirportSTN),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.8860181, 0.2388661)","London Stansted Airport (STN), Bassingbourn Rd, Stansted CM24 1QW, UK"
off Sukhumi AirportSUI),Georgia,"(32.1656221, -82.9000751)","Georgia, USA",,
Berlin-Bohnsdorf,Germany,"(51.165691, 10.451526)",Germany,,
Idris,Libya,"(26.3351, 17.228331)",Libya,,
near Kano International AirportKAN),Nigeria,"(9.081999, 8.675277)",Nigeria,,
"Parintins, AM",Brazil,"(-14.235004, -51.92528)",Brazil,,
"0,4 km0.3 mls) N of Wheelus Air BaseMJI)",Libya,"(26.3351, 17.228331)",Libya,,
"10 km6.3 mls) N of Goose Bay Airport, NFYYR)",Canada,"(56.130366, -106.346771)",Canada,,
Ataq AirportAXK),Yemen,"(15.552727, 48.516388)",Yemen,,
111 km69.4 mls) NW of Narsarsuaq,Greenland,"(71.706936, -42.604303)",Greenland,,
"Terceira-Lajes AFB, AzoresLFB)",Portugal,"(39.39987199999999, -8.224454)",Portugal,,
550 km343.8 mls) SE off  Azores Islands,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
550 km343.8 mls) SE off  Azores Islands,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
"30 km18.8 mls) SW of San Carlos de Bariloche, RN",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
"30 km18.8 mls) SW of San Carlos de Bariloche, RN",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
"30 km18.8 mls) SW of San Carlos de Bariloche, RN",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
"30 km18.8 mls) SW of San Carlos de Bariloche, RN",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
"30 km18.8 mls) SW of San Carlos de Bariloche, RN",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
"30 km18.8 mls) SW of San Carlos de Bariloche, RN",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
Santoshpur village,India,"(20.593684, 78.96288)",India,,
Santoshpur village,India,"(20.593684, 78.96288)",India,,
near Varna AirportVAR),Bulgaria,"(42.733883, 25.48583)",Bulgaria,,
Star Hill,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
at an unknown location,Turkey,"(38.963745, 35.243322)",Turkey,,
at an unknown location,Turkey,"(38.963745, 35.243322)",Turkey,,
at an unknown location,Turkey,"(38.963745, 35.243322)",Turkey,,
at an unknown location,Turkey,"(38.963745, 35.243322)",Turkey,,
"Pittsburgh International Airport, PAPIT)",United States of America,"(37.09024, -95.712891)",United States,,
"Pittsburgh International Airport, PAPIT)",United States of America,"(37.09024, -95.712891)",United States,,
"Argentia-NAS, NFNWP)",Canada,"(56.130366, -106.346771)",Canada,,
at an unknown location,Egypt,"(26.820553, 30.802498)",Egypt,,
"Brunswick NAS, MENHZ)",United States of America,"(37.09024, -95.712891)",United States,,
Arica,Chile,"(-35.675147, -71.542969)",Chile,,
Arica,Chile,"(-35.675147, -71.542969)",Chile,,
Arica,Chile,"(-35.675147, -71.542969)",Chile,,
"near Manicouagon, QC",Canada,"(56.130366, -106.346771)",Canada,,
"Ilha Anchieta, SP",Brazil,"(-14.235004, -51.92528)",Brazil,,
"off Prince Rupert, BC",Canada,"(56.130366, -106.346771)",Canada,,
32 km20 mls) NW of Milano,Italy,"(41.87194, 12.56738)",Italy,,
"Yurgarga River, Taimyr Peninsula",Russia,"(61.52401, 105.318756)",Russia,,
at an unknown location,,,,,
at an unknown location,,,,,
at an unknown location,,,,,
"Roswell-Walker AFB, NM",United States of America,"(37.09024, -95.712891)",United States,,
Athens-Ellinikon International AirportATH),Greece,"(39.074208, 21.824312)",Greece,,
"Prescott, AZ",United States of America,"(37.09024, -95.712891)",United States,,
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
RAF Watton Airfield,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
100 km62.5 mls) off  Libya,Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea,,
"Mormugao, Goa",India,"(20.593684, 78.96288)",India,,
within ,Nicaragua,"(12.865416, -85.207229)",Nicaragua,"(37.7844467, -79.44325289999999)","9 W Nelson St, Lexington, VA 24450, USA"
"1,6 km1 mls) S of Khartoum-Civil AirportKRT)",Sudan,"(12.862807, 30.217636)",Sudan,,
Moro,Peru,"(-9.189967, -75.015152)",Peru,,
Ashiya Air Base,Japan,"(36.204824, 138.252924)",Japan,,
Islamabad International AirportISB),Pakistan,"(30.375321, 69.34511599999999)",Pakistan,,
Shannon AirportSNN),Ireland,"(53.1423672, -7.692053599999999)",Ireland,"(52.6996573, -8.914691099999999)","Shannon Airport (SNN), Lismacleane, Co. Clare, Ireland"
30 km18.8 mls) S of Tournavista,Peru,"(-9.189967, -75.015152)",Peru,,
30 km18.8 mls) S of Tournavista,Peru,"(-9.189967, -75.015152)",Peru,,
"Chase, MD",United States of America,"(37.09024, -95.712891)",United States,,
"Teterboro Airport, NJTEB)",United States of America,"(37.09024, -95.712891)",United States,"(40.8550014, -74.0646486)","Teterboro Airport, 233 Industrial Ave, Teterboro, NJ 07608, USA"
Lâpseki,Turkey,"(38.963745, 35.243322)",Turkey,,
Lâpseki,Turkey,"(38.963745, 35.243322)",Turkey,,
off Chojudo,South Korea,"(35.907757, 127.766922)",South Korea,,
Aden,Yemen,"(15.552727, 48.516388)",Yemen,,
"St. Petersburg Airport, FLPIE)",United States of America,"(37.09024, -95.712891)",United States,,
"near Fairfield-Travis AFB, CA",United States of America,"(37.09024, -95.712891)",United States,,
"São Paulo-Congonhas Airport, SPCGH)",Brazil,"(-14.235004, -51.92528)",Brazil,"(-23.6273246, -46.6565842)","Congonhas-São Paulo Airport (CGH) - Av. Washington Luís, s/nº - Vila Congonhas, São Paulo - SP, 04626-911, Brazil"
32 km20 mls) S of Saijo,Japan,"(36.204824, 138.252924)",Japan,,
"Hall Beach Airport, NUYUX)",Canada,"(56.130366, -106.346771)",Canada,,
"8,7 km5.4 mls) SW off  Seattle/Tacoma International Airport, WASEA)",United States of America,"(37.09024, -95.712891)",United States,,
Korat,Thailand,"(15.870032, 100.992541)",Thailand,,
Indapur,India,"(20.593684, 78.96288)",India,,
Largs,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"0,5 km0.3 mls) from  Pittsburgh-Greater Pittsburgh Airport, PAPIT)",United States of America,"(37.09024, -95.712891)",United States,,
Gao AirportGAQ),Mali,"(17.570692, -3.996166)",Mali,,
Thorney Island RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"1,5 km0.9 mls) off  Argentia NAS, NFNWP)",Canada,"(56.130366, -106.346771)",Canada,,
Mount Fuji,Japan,"(36.204824, 138.252924)",Japan,,
Nicosia AirportNIC),Cyprus,"(35.126413, 33.429859)",Cyprus,,
385 km240.6 mls) SW off  Iceland,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
"Pelly Bay, NU",Canada,"(56.130366, -106.346771)",Canada,,
Cameron Highlands,Malaysia,"(4.210484, 101.975766)",Malaysia,,
"Ushuaia-Comandante Berisso Airport, TFEAU)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
Lash Golath Mt.,Pakistan,"(30.375321, 69.34511599999999)",Pakistan,,
8 km5 mls) S of Rascafria,Spain,"(40.46366700000001, -3.74922)",Spain,,
ca 24 km from Aleppo,Syria,"(34.80207499999999, 38.996815)",Syria,,
"0,8 km0.5 mls) from  Biskra AirportBSK)",Algeria,"(28.033886, 1.659626)",Algeria,,
"Bagé Airport, RSBGX)",Brazil,"(-14.235004, -51.92528)",Brazil,,
"Hall Beach Airport, NUYUX)",Canada,"(56.130366, -106.346771)",Canada,,
Tezpur-Salonibari AirportTEZ),India,"(20.593684, 78.96288)",India,,
"near Chincoteague NAAS, VAWAL)",United States of America,"(37.09024, -95.712891)",United States,,
"Cambridge Bay Airport, NUYCB)",Canada,"(56.130366, -106.346771)",Canada,,
Knob Lake,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
Knob Lake,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
"Montreal-Dorval International Airport, QCYUL)",Canada,"(56.130366, -106.346771)",Canada,,
"off Sept-Îles, QC",Canada,"(56.130366, -106.346771)",Canada,,
15 km9.4 mls) NE of Ulyanovsk,Russia,"(61.52401, 105.318756)",Russia,,
Topcliffe RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"320 km200 mls) SE off  Tokyo, Japan",Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,,
"Duntroon, ACT",Australia,"(-25.274398, 133.775136)",Australia,,
Loikaw AirportLIW),Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
Loikaw AirportLIW),Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
near Sayari,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,,
35 km21.9 mls) NW of Cebu,Philippines,"(12.879721, 121.774017)",Philippines,,
Wythenshawe,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
Natagamina,Colombia,"(4.570868, -74.297333)",Colombia,,
Kingsway Camp,India,"(20.593684, 78.96288)",India,,
near Hakuba,Japan,"(36.204824, 138.252924)",Japan,,
32 km20 mls) W of Túluá,Colombia,"(4.570868, -74.297333)",Colombia,,
"Louisville-Standiford Field, KYSDF)",United States of America,"(37.09024, -95.712891)",United States,,
Sutton Wick,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
W off Yonago-Miho Air BaseYGJ),Japan,"(36.204824, 138.252924)",Japan,,
"6 km3.8 mls) W of Blyn, WA",United States of America,"(37.09024, -95.712891)",United States,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
"ca 10 W of Salesópolis, SP",Brazil,"(-14.235004, -51.92528)",Brazil,,
"near Son Bonet, Mallorca",Spain,"(40.46366700000001, -3.74922)",Spain,,
Nagaland,India,"(20.593684, 78.96288)",India,,
"Rikers Island, NY",United States of America,"(37.09024, -95.712891)",United States,,
"Martinsburg Airport, WVMRB)",United States of America,"(37.09024, -95.712891)",United States,,
16 km10 mls) W of Guadalajara AirportGDL),Mexico,"(23.634501, -102.552784)",Mexico,,
16 km10 mls) W of Guadalajara AirportGDL),Mexico,"(23.634501, -102.552784)",Mexico,,
Manila International AirportMNL),Philippines,"(12.879721, 121.774017)",Philippines,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
S of Molière,Algeria,"(28.033886, 1.659626)",Algeria,,
Fukuoka,Japan,"(36.204824, 138.252924)",Japan,"(33.5903547, 130.4017155)","Fukuoka, Fukuoka Prefecture, Japan"
"Driftwood Bay, AK",United States of America,"(37.09024, -95.712891)",United States,,
32 km20 mls) NW of Andapa,Madagascar,"(-18.766947, 46.869107)",Madagascar,,
32 km20 mls) NW of Andapa,Madagascar,"(-18.766947, 46.869107)",Madagascar,,
near Seoul-GimpoKimpo) International AirportSEL),South Korea,"(35.907757, 127.766922)",South Korea,,
Lake Figurnoye,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
Lisboa AirportLIS),Portugal,"(39.39987199999999, -8.224454)",Portugal,,
"Falmouth-Otis AFB, MA",United States of America,"(37.09024, -95.712891)",United States,,
Gurgaon,India,"(20.593684, 78.96288)",India,,
"6,4 km4 mls) NE of Brunswick, MD",United States of America,"(37.09024, -95.712891)",United States,,
"Laha, Ambon",Indonesia,"(-0.789275, 113.921327)",Indonesia,,
-Luqa AirportMLA),Malta,"(35.937496, 14.375416)",Malta,,
near Casablanca-Cazes AirportCAS),Morocco,"(31.791702, -7.092619999999999)",Morocco,,
Chatenoy,France,"(46.227638, 2.213749)",France,,
Delhi-Palam AirportDEL),India,"(20.593684, 78.96288)",India,,
"near Arctic Bay, NU",Canada,"(56.130366, -106.346771)",Canada,,
"11 km6.9 mls) E of Taft, CA",United States of America,"(37.09024, -95.712891)",United States,,
"11 km6.9 mls) E of Taft, CA",United States of America,"(37.09024, -95.712891)",United States,,
near -Changi AirportSIN),Singapore,"(1.352083, 103.819836)",Singapore,,
"24 km15 mls) from  Madras, OR",United States of America,"(37.09024, -95.712891)",United States,,
"Hagerstown Regional Airport, MDHGR)",United States of America,"(37.09024, -95.712891)",United States,,
