SubLocation,Country,latlon,place,sub_latlon,sub_place
32 km20 mls) S of Saijo,Japan,"(36.204824, 138.252924)",Japan,,
"Hall Beach Airport, NUYUX)",Canada,"(56.130366, -106.346771)",Canada,,
"8,7 km5.4 mls) SW off  Seattle/Tacoma International Airport, WASEA)",United States of America,"(37.09024, -95.712891)",United States,,
Korat,Thailand,"(15.870032, 100.992541)",Thailand,"(14.9798997, 102.0977693)","Nakhon Ratchasima, Thailand"
Indapur,India,"(20.593684, 78.96288)",India,"(18.1140272, 75.03190860000001)","Indapur, Maharashtra 413106, India"
Largs,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(55.79333500000001, -4.867278000000001)","Largs, UK"
"0,5 km0.3 mls) from  Pittsburgh-Greater Pittsburgh Airport, PAPIT)",United States of America,"(37.09024, -95.712891)",United States,,
Gao AirportGAQ),Mali,"(17.570692, -3.996166)",Mali,,
Thorney Island RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(50.816021, -0.9184019999999999)","Thorney Island, Emsworth PO10, UK"
"1,5 km0.9 mls) off  Argentia NAS, NFNWP)",Canada,"(56.130366, -106.346771)",Canada,,
Mount Fuji,Japan,"(36.204824, 138.252924)",Japan,"(35.3605555, 138.7277777)","Mount Fuji, Kitayama, Fujinomiya, Shizuoka Prefecture 418-0112, Japan"
Nicosia AirportNIC),Cyprus,"(35.126413, 33.429859)",Cyprus,"(35.1599318, 33.2735351)",Nicosia Airport (NIC)
385 km240.6 mls) SW off  Iceland,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
"Pelly Bay, NU",Canada,"(56.130366, -106.346771)",Canada,"(68.883333, -90.083333)","Pelly Bay, Kitikmeot, Unorganized, NU, Canada"
Cameron Highlands,Malaysia,"(4.210484, 101.975766)",Malaysia,"(4.4721201, 101.3801441)","Cameron Highlands, Pahang, Malaysia"
"Ushuaia-Comandante Berisso Airport, TFEAU)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
Lash Golath Mt.,Pakistan,"(30.375321, 69.34511599999999)",Pakistan,,
8 km5 mls) S of Rascafria,Spain,"(40.46366700000001, -3.74922)",Spain,"(40.5642463, -3.2717486)","Calle Rascafría, 8, 19200 Azuqueca de Henares, Guadalajara, Spain"
ca 24 km from Aleppo,Syria,"(34.80207499999999, 38.996815)",Syria,"(33.9904089, -117.9357341)","Aleppo, Hacienda Heights, CA 91745, USA"
"0,8 km0.5 mls) from  Biskra AirportBSK)",Algeria,"(28.033886, 1.659626)",Algeria,,
"Bagé Airport, RSBGX)",Brazil,"(-14.235004, -51.92528)",Brazil,,
"Hall Beach Airport, NUYUX)",Canada,"(56.130366, -106.346771)",Canada,,
Tezpur-Salonibari AirportTEZ),India,"(20.593684, 78.96288)",India,"(26.7083045, 92.7673983)","Tezpur Airport, P.O.- Haleswar, Tezpur, Assam 784104, India"
"near Chincoteague NAAS, VAWAL)",United States of America,"(37.09024, -95.712891)",United States,,
"Cambridge Bay Airport, NUYCB)",Canada,"(56.130366, -106.346771)",Canada,,
Knob Lake,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,"(38.7076133, -79.5878307)","Spruce Knob Lake Campground, Whitmer, WV 26296, USA"
Knob Lake,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,"(38.7076133, -79.5878307)","Spruce Knob Lake Campground, Whitmer, WV 26296, USA"
"Montreal-Dorval International Airport, QCYUL)",Canada,"(56.130366, -106.346771)",Canada,"(45.46973819999999, -73.7449195)","Montréal-Pierre Elliott Trudeau International Airport (YUL), Québec, Canada"
"off Sept-Îles, QC",Canada,"(56.130366, -106.346771)",Canada,"(50.2248385, -66.35754949999999)","Sept-Iles, QC G4R 4X4, Canada"
15 km9.4 mls) NE of Ulyanovsk,Russia,"(61.52401, 105.318756)",Russia,,
Topcliffe RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(54.20648019999999, -1.3959143)","Royal Air Force Station, Alanbrooke Barracks, Thirsk YO7 3DZ, UK"
"320 km200 mls) SE off  Tokyo, Japan",Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,,
"Duntroon, ACT",Australia,"(-25.274398, 133.775136)",Australia,"(-35.303194, 149.161688)","Duntroon, Campbell ACT 2600, Australia"
Loikaw AirportLIW),Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
Loikaw AirportLIW),Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
near Sayari,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(31.8136311, 77.10837550000001)","Shayari, Himachal Pradesh 175121, India"
35 km21.9 mls) NW of Cebu,Philippines,"(12.879721, 121.774017)",Philippines,"(28.2547144, -80.6905566)","Cebu Pl, Melbourne, FL 32940, USA"
Wythenshawe,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(53.401455, -2.2712861)","Wythenshawe, Manchester, UK"
Natagamina,Colombia,"(4.570868, -74.297333)",Colombia,,
Kingsway Camp,India,"(20.593684, 78.96288)",India,"(28.6961996, 77.1998976)","Kingsway Camp, GTB Nager, Delhi, 110009, India"
near Hakuba,Japan,"(36.204824, 138.252924)",Japan,"(36.6981801, 137.8618501)","Hakuba, Kitaazumi District, Nagano Prefecture, Japan"
32 km20 mls) W of Túluá,Colombia,"(4.570868, -74.297333)",Colombia,"(4.0822786, -76.1914072)","MI ALEGRE DESPERTAR Kindergarten, Cra. 34 #2822, Tuluá, Valle del Cauca, Colombia"
"Louisville-Standiford Field, KYSDF)",United States of America,"(37.09024, -95.712891)",United States,"(38.175662, -85.7369231)","Louisville International Airport, 600 Terminal Dr, Louisville, KY 40209, USA"
Sutton Wick,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.6490454, -1.3072729)","Sutton Wick, Drayton, Abingdon OX14, UK"
W off Yonago-Miho Air BaseYGJ),Japan,"(36.204824, 138.252924)",Japan,,
"6 km3.8 mls) W of Blyn, WA",United States of America,"(37.09024, -95.712891)",United States,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
"ca 10 W of Salesópolis, SP",Brazil,"(-14.235004, -51.92528)",Brazil,"(-23.4959865, -46.8982939)","R. Salesopolis, 10 - Jardim California, Barueri - SP, Brazil"
"near Son Bonet, Mallorca",Spain,"(40.46366700000001, -3.74922)",Spain,"(39.6044105, 2.7044247)","Son Bonet, Edificio Antiguo Centro de Control, Ctra.Palma-Inca, km 6, 07141 Marratxí, Illes Balears, Spain"
Nagaland,India,"(20.593684, 78.96288)",India,"(26.1584354, 94.5624426)","Nagaland, India"
"Rikers Island, NY",United States of America,"(37.09024, -95.712891)",United States,"(40.79312770000001, -73.88601)","Rikers Island, New York, NY, USA"
"Martinsburg Airport, WVMRB)",United States of America,"(37.09024, -95.712891)",United States,"(39.4027418, -77.982974)","Eastern West Virginia Regional Airport, 170 Aviation Way, Martinsburg, WV 25405, USA"
16 km10 mls) W of Guadalajara AirportGDL),Mexico,"(23.634501, -102.552784)",Mexico,,
16 km10 mls) W of Guadalajara AirportGDL),Mexico,"(23.634501, -102.552784)",Mexico,,
Manila International AirportMNL),Philippines,"(12.879721, 121.774017)",Philippines,"(14.5122739, 121.016508)","Ninoy Aquino International Airport (MNL), Andrews Ave, Pasay, 1300 Metro Manila, Philippines"
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
S of Molière,Algeria,"(28.033886, 1.659626)",Algeria,"(19.4381132, -99.20082)","Av Moliere S/n, Polanco, Granada, 11520 Ciudad de México, CDMX, Mexico"
Fukuoka,Japan,"(36.204824, 138.252924)",Japan,"(33.5903547, 130.4017155)","Fukuoka, Fukuoka Prefecture, Japan"
"Driftwood Bay, AK",United States of America,"(37.09024, -95.712891)",United States,"(59.9178362, -149.2497457)","Driftwood Bay, Alaska 99664, USA"
32 km20 mls) NW of Andapa,Madagascar,"(-18.766947, 46.869107)",Madagascar,,
32 km20 mls) NW of Andapa,Madagascar,"(-18.766947, 46.869107)",Madagascar,,
near Seoul-GimpoKimpo) International AirportSEL),South Korea,"(35.907757, 127.766922)",South Korea,,
Lake Figurnoye,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,"(-66.3, 100.8)","Algae Lake, Antarctica"
Lisboa AirportLIS),Portugal,"(39.39987199999999, -8.224454)",Portugal,"(38.7755936, -9.135366699999999)","Lisbon Portela Airport (LIS), Alameda das Comunidades Portuguesas, 1700-111 Lisboa, Portugal"
"Falmouth-Otis AFB, MA",United States of America,"(37.09024, -95.712891)",United States,"(41.65063079999999, -70.5201518)","Otis Air National Guard Base, 158 Reilly St, Buzzards Bay, MA 02542, USA"
Gurgaon,India,"(20.593684, 78.96288)",India,"(28.4594965, 77.0266383)","Gurugram, Haryana, India"
"6,4 km4 mls) NE of Brunswick, MD",United States of America,"(37.09024, -95.712891)",United States,,
"Laha, Ambon",Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-3.6689144, 128.0525654)","Laha, Teluk Ambon, Kota Ambon, Maluku, Indonesia"
-Luqa AirportMLA),Malta,"(35.937496, 14.375416)",Malta,"(35.8541135, 14.4832795)","Malta International Airport (MLA), Luqa LQA 4000, Malta"
near Casablanca-Cazes AirportCAS),Morocco,"(31.791702, -7.092619999999999)",Morocco,,
Chatenoy,France,"(46.227638, 2.213749)",France,"(47.918487, 2.3987)","45260 Châtenoy, France"
Delhi-Palam AirportDEL),India,"(20.593684, 78.96288)",India,"(28.5561624, 77.0999578)","Indira Gandhi International Airport (DEL), Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
"near Arctic Bay, NU",Canada,"(56.130366, -106.346771)",Canada,"(73.03757499999999, -85.148031)","Arctic Bay, NU, Canada"
"11 km6.9 mls) E of Taft, CA",United States of America,"(37.09024, -95.712891)",United States,,
"11 km6.9 mls) E of Taft, CA",United States of America,"(37.09024, -95.712891)",United States,,
near -Changi AirportSIN),Singapore,"(1.352083, 103.819836)",Singapore,"(1.3644202, 103.9915308)","Airport Blvd, Changi Airport Singapore (SIN), Singapore"
"24 km15 mls) from  Madras, OR",United States of America,"(37.09024, -95.712891)",United States,,
"Hagerstown Regional Airport, MDHGR)",United States of America,"(37.09024, -95.712891)",United States,"(39.7082107, -77.73018359999999)","Hagerstown Regional Airport (HGR), 18434 Showalter Rd, Hagerstown, MD 21742, USA"
"Charleston-Kanawha County Airport, WVCRW)",United States of America,"(37.09024, -95.712891)",United States,"(38.3704854, -81.59670489999999)","Yeager Airport, 100 Airport Rd, Charleston, WV 25311, USA"
"near Whidbey Island-NAS, WANUW)",United States of America,"(37.09024, -95.712891)",United States,,
near Cuzco-Velazco Astete AirportCUZ),Peru,"(-9.189967, -75.015152)",Peru,"(-13.5376364, -71.9436143)","Alejandro Velasco Astete International Airport (CUZ), Velasco Astete s/n, Cusco, Peru"
"Mallorca, Alfabia Peak",Spain,"(40.46366700000001, -3.74922)",Spain,"(39.735278, 2.712778)","Alfabia Mountains, 07110, Balearic Islands, Spain"
"Mallorca, Alfabia Peak",Spain,"(40.46366700000001, -3.74922)",Spain,"(39.735278, 2.712778)","Alfabia Mountains, 07110, Balearic Islands, Spain"
at an unknown location,Russia,"(61.52401, 105.318756)",Russia,,
Arctic Ocean,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,"(65.2481624, -60.4620976)",Arctic Ocean
Poitiers-Biard AirportPIS),France,"(46.227638, 2.213749)",France,"(46.585936, 0.311347)","Poitiers - Biard Airport (PIS), 5 Rue du Sous-Lieutenant Collart, 86580 Biard, France"
Sierra de Valdemeca,Spain,"(40.46366700000001, -3.74922)",Spain,"(40.1666667, -1.75)","巴尔德梅卡山16316, Cuenca, Spain"
near Kerman,Iran,"(32.427908, 53.688046)",Iran,"(36.72355719999999, -120.059879)","Kerman, CA 93630, USA"
"Key West International Airport, FLEYW)",United States of America,"(37.09024, -95.712891)",United States,"(24.5556474, -81.7583293)","Key West International Airport, 3491 S Roosevelt Blvd, Key West, FL 33040, USA"
Novosibirsk Region,Russia,"(61.52401, 105.318756)",Russia,"(55.00835259999999, 82.9357327)","Novosibirsk, Novosibirsk Oblast, Russia"
Mount Süphan,Turkey,"(38.963745, 35.243322)",Turkey,"(38.9316666, 42.8341666)","Mount Süphan, 13500 Yıldızköy Köyü/Adilcevaz/Bitlis, Turkey"
Ankara-Etimesgut AirportANK),Turkey,"(38.963745, 35.243322)",Turkey,"(39.9832374, 32.8332184)","Etlik Mahallesi, Etimesgut Airport (ANK), 06040 Keçiören/Ankara, Turkey"
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"near China Lake, CA",United States of America,"(37.09024, -95.712891)",United States,"(35.6507888, -117.66173)","China Lake, Ridgecrest, CA 93555, USA"
Rio TejoTagus River),Portugal,"(39.39987199999999, -8.224454)",Portugal,"(39.19088860000001, -8.104970999999999)",Rio Tejo
Hyères,France,"(46.227638, 2.213749)",France,"(43.120541, 6.128639)","Hyères, France"
Santiago AirportSCU),Cuba,"(21.521757, -77.781167)",Cuba,"(19.97, -75.835556)","Antonio Maceo Airport (SCU), Avenida al Aeropuerto Internacional Antonio Maceo Grajales, Santiago de Cuba, Cuba"
"Juneau International Airport, AKJNU)",United States of America,"(37.09024, -95.712891)",United States,"(58.3579806, -134.5831791)","Juneau International Airport (JNU), Tongass National Forest, 1873 Shell Simmons Dr, Juneau, AK 99801, USA"
"0,8 km0.5 mls) W off  Aden-Khormaksar RAF Station",Yemen,"(15.552727, 48.516388)",Yemen,,
48 km30 mls) W Aden-Khormaksar RAF Station,Yemen,"(15.552727, 48.516388)",Yemen,,
"8 km5 mls) from  Orting, WA",United States of America,"(37.09024, -95.712891)",United States,,
"Argentia-NAS, NFNWP)",Canada,"(56.130366, -106.346771)",Canada,,
near Napoli-Capodichino AirportNAP),Italy,"(41.87194, 12.56738)",Italy,"(40.8829943, 14.2865792)","Naples International Airport (NAP), Viale F. Ruffo di Calabria, 80144 Napoli, Italy"
near Port-au-Prince,Haiti,"(18.971187, -72.285215)",Haiti,"(18.594395, -72.3074326)","Port-au-Prince, Haiti"
Adana-Incirlik Air BaseADA),Turkey,"(38.963745, 35.243322)",Turkey,,
"12 km7.5 mls) off  Mackay, QLD",Australia,"(-25.274398, 133.775136)",Australia,,
near Tkvarcheli,Georgia,"(32.1656221, -82.9000751)","Georgia, USA","(42.8555321, 41.6734319)",Tkvarcheli
Tegucigalpa-Toncontin AirportTGU),Honduras,"(15.199999, -86.241905)",Honduras,"(14.060701, -87.2178198)","Toncontín International Airport (TGU), restaurante boca del mar, Tegucigalpa, Honduras"
30 km18.8 mls) NE of Sofia-Vrazhdebna AirportSOF),Bulgaria,"(42.733883, 25.48583)",Bulgaria,,
"3,5 km2.2 mls) S of -Luqa AirportMLA)",Malta,"(35.937496, 14.375416)",Malta,,
Saigon-Tan Son Nhut AirportSGN),Vietnam,"(14.058324, 108.277199)",Vietnam,"(10.8184631, 106.6588245)","Tan Son Nhat International Airport, Tân Bình, Hồ Chí Minh, Vietnam"
"5,6 km3.5 mls) N of Niles, CA",United States of America,"(37.09024, -95.712891)",United States,,
"near Owensboro, KY",United States of America,"(37.09024, -95.712891)",United States,"(37.7719074, -87.1111676)","Owensboro, KY, USA"
Najran,Saudi Arabia,"(23.885942, 45.079162)",Saudi Arabia,"(17.5656036, 44.2289441)",Najran Saudi Arabia
"2,4 km1.5 mls) off  Frobisher Bay Airport, NUYFB)",Canada,"(56.130366, -106.346771)",Canada,,
"Toronto, ON",Canada,"(56.130366, -106.346771)",Canada,"(43.653226, -79.3831843)","Toronto, ON, Canada"
"40 km25 mls) NW of Fort Chimo, QC",Canada,"(56.130366, -106.346771)",Canada,,
Little America V,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,"(29.6152136, -95.4625808)","Little, Houston, TX 77045, USA"
"Cheyenne Airport, WYCYS)",United States of America,"(37.09024, -95.712891)",United States,"(41.1536049, -104.8207379)","Cheyenne Regional Airport, 200 E 8th Ave, Cheyenne, WY 82001, USA"
Northern ,Venezuela,"(6.42375, -66.58973)",Venezuela,"(18.4448963, 30.1589303)","Northern, Sudan"
"off Fort Lauderdale, FL",United States of America,"(37.09024, -95.712891)",United States,"(26.193233, -80.15821299999999)","1064 NW 54th St, Fort Lauderdale, FL 33309, USA"
"off Fort Lauderdale, FL",United States of America,"(37.09024, -95.712891)",United States,"(26.193233, -80.15821299999999)","1064 NW 54th St, Fort Lauderdale, FL 33309, USA"
Edward VII Peninsula,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
near Zaragoza,Spain,"(40.46366700000001, -3.74922)",Spain,"(41.6488226, -0.8890853)","Zaragoza, Spain"
2 km1.3 mls) S of Lyon-Bron AirportLYN),France,"(46.227638, 2.213749)",France,,
Blida,Algeria,"(28.033886, 1.659626)",Algeria,"(36.4798683, 2.8005677)","Blida, Algeria"
Blida,Algeria,"(28.033886, 1.659626)",Algeria,"(36.4798683, 2.8005677)","Blida, Algeria"
Nantes-Chateau Bougon Airport,France,"(46.227638, 2.213749)",France,"(47.15741879999999, -1.6062316)","Nantes Atlantique Airport (NTE), 44346 Bouguenais, France"
"Kuujjuaq Airport, QCYVP)",Canada,"(56.130366, -106.346771)",Canada,,
at an unknown location,Colombia,"(4.570868, -74.297333)",Colombia,,
Blackbushe AirportBBS),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.322737, -0.839339)","Blackbushe Airport, Blackwater, Camberley GU17 9LQ, UK"
12 km7.5 mls) from  Toryska,Slovakia,"(48.669026, 19.699024)",Slovakia,,
"Oreway, QC",Canada,"(56.130366, -106.346771)",Canada,"(52.568437, -65.8789649)","Oreway, NL A0P, Canada"
-Luqa AirportMLA),Malta,"(35.937496, 14.375416)",Malta,"(35.8541135, 14.4832795)","Malta International Airport (MLA), Luqa LQA 4000, Malta"
"6,5 km4.1 mls) NW of Sunland, Los Angeles, CA",United States of America,"(37.09024, -95.712891)",United States,,
Paris-Orly AirportORY),France,"(46.227638, 2.213749)",France,"(48.7262433, 2.3652472)","Orly Airport (ORY), 94390 Orly, France"
"off Anchorage-Elmendorf AFB, AKEDF)",United States of America,"(37.09024, -95.712891)",United States,,
Ometepe Island,Nicaragua,"(12.865416, -85.207229)",Nicaragua,"(11.5141431, -85.58179109999999)","Ometepe, Nicaragua"
Forres-Kinloss RAF StationFSS),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(57.639815, -3.557703)","Kinloss Barracks, Forres IV36 3UH, United Kingdom"
"45 km28.1 mls) NE of Rome-Griffiss AFB, NYRME)",United States of America,"(37.09024, -95.712891)",United States,,
"Vall de Núria, Pyrénées Mountains",Spain,"(40.46366700000001, -3.74922)",Spain,"(42.3967409, 2.1526984)","17534 Núria, Girona, Spain"
"Grosse Ile NAS, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.1066703, -83.1641751)","Grosse Ile Municipal Airport, 9601 Groh Rd, Grosse Ile Township, MI 48138, USA"
"Tacoma-McChord AFB, WATCM)",United States of America,"(37.09024, -95.712891)",United States,"(47.177138, -122.464459)","8726 S Hosmer St, Tacoma, WA 98444, USA"
"Tacoma-McChord AFB, WATCM)",United States of America,"(37.09024, -95.712891)",United States,"(47.177138, -122.464459)","8726 S Hosmer St, Tacoma, WA 98444, USA"
"Buenos Aires-Jorge Newbery Airport, BAAEP)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.5580305, -58.4170088)","Aeroparque Internacional Jorge Newbery (AEP), Av. Costanera Rafael Obligado s/n, C1425 CABA, Argentina"
"33 km20.6 mls) S of Rankin Inlet, NU",Canada,"(56.130366, -106.346771)",Canada,,
4 km2.5 mls) E of Moskva-Sheremetyevo AirportSVO),Russia,"(61.52401, 105.318756)",Russia,,
Topcliffe RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(54.20648019999999, -1.3959143)","Royal Air Force Station, Alanbrooke Barracks, Thirsk YO7 3DZ, UK"
Qrendi,Malta,"(35.937496, 14.375416)",Malta,"(35.8328488, 14.4548621)","Qrendi, Malta"
60 km37.5 mls) from  Igarka,Russia,"(61.52401, 105.318756)",Russia,,
Craigie,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(-31.787, 115.768)","Craigie WA 6025, Australia"
near Voronezh,Russia,"(61.52401, 105.318756)",Russia,"(51.6754966, 39.2088823)","Voronezh, Voronezh Oblast, Russia"
Mirny Ice Station,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,"(-66.5530884, 93.0095441)","Indischer Ozean, Antarctica"
"near Arden, NV",United States of America,"(37.09024, -95.712891)",United States,"(36.0180284, -115.2308304)","Arden, Enterprise, NV 89139, USA"
near In Salah AirportINZ),Algeria,"(28.033886, 1.659626)",Algeria,,
S off Barcelona AirportBCN),Spain,"(40.46366700000001, -3.74922)",Spain,"(41.297445, 2.0832941)","Barcelona–El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain"
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"ca 10 km N of Georgetown, DE",United States of America,"(37.09024, -95.712891)",United States,,
Warszawa-Okecie AirportWAW),Poland,"(51.919438, 19.145136)",Poland,"(52.1672369, 20.9678911)","Warsaw Chopin Airport, Żwirki i Wigury 1, 01-001 Warszawa, Poland"
Pyongtaek,South Korea,"(35.907757, 127.766922)",South Korea,"(36.9921075, 127.1129451)","Pyeongtaek-si, Gyeonggi-do, South Korea"
"near Son Bonet Airport, Mallorca",Spain,"(40.46366700000001, -3.74922)",Spain,"(39.6044105, 2.7044247)","Son Bonet, Edificio Antiguo Centro de Control, Ctra.Palma-Inca, km 6, 07141 Marratxí, Illes Balears, Spain"
"14,5 km9.1 mls) E of Killeen, TX",United States of America,"(37.09024, -95.712891)",United States,,
"Alma, GA",United States of America,"(37.09024, -95.712891)",United States,"(31.5393701, -82.4623557)","Alma, GA 31510, USA"
near Boukpayanga,Central African Republic,"(6.611110999999999, 20.939444)",Central African Republic,,
56 km35 mls) W of Silchar,India,"(20.593684, 78.96288)",India,,
"Argentia-NAS, NFNWP)",Canada,"(56.130366, -106.346771)",Canada,,
"1,5 km0.9 mls) SE of Chicago-Midway Airport, ILMDW)",United States of America,"(37.09024, -95.712891)",United States,,
Mahon,Spain,"(40.46366700000001, -3.74922)",Spain,"(39.9148178, 4.2230836)","Mahón, Balearic Islands, Spain"
near Tobu,India,"(20.593684, 78.96288)",India,"(26.3648569, -80.1331975)","Town Center at Boca Raton, 6000 Glades Rd, Boca Raton, FL 33431, USA"
Charagua,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-19.7809492, -63.19732329999999)","Charagua, Bolivia"
"Curralinho, PA",Brazil,"(-14.235004, -51.92528)",Brazil,"(-1.8121545, -49.79566080000001)","Curralinho - State of Pará, Brazil"
Addis Ababa-Lideta Airport,Ethiopia,"(9.145000000000001, 40.489673)",Ethiopia,"(9.0036905, 38.7252246)","Old Airport, Addis Ababa, Ethiopia"
"2,4 km1.5 mls) from  Managua AirportMGA)",Nicaragua,"(12.865416, -85.207229)",Nicaragua,,
8 km5 mls) NE of Dresden-Klotzsche AirportDRS),Germany,"(51.165691, 10.451526)",Germany,,
Brahmaputra River,India,"(20.593684, 78.96288)",India,"(26.4821716, 92.520091)",Brahmaputra
"3 km1.9 mls) S of Prescott Airport, AZPRC)",United States of America,"(37.09024, -95.712891)",United States,,
Garz,Germany,"(51.165691, 10.451526)",Germany,"(54.2935899, 13.3797663)","Garz, Germany"
Lourdes-Tarbes Ossun Lourdes AirportLDE),France,"(46.227638, 2.213749)",France,"(43.1853912, 0.0025624)","Tarbes - Lourdes Pyrenees Airport (LDE), 65290 Juillan, France"
Tehran-Mehrabad AirportTHR),Iran,"(32.427908, 53.688046)",Iran,"(35.68998819999999, 51.311241)","Mehrabad International Airport (THR), Tehran, Iran"
"Atlanta Airport, GAATL)",United States of America,"(37.09024, -95.712891)",United States,"(33.6407282, -84.4277001)","Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
La Paz-El Alto AirportLPB),Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-16.511091, -68.1878565)","El Alto International Airport (LPB), Heroes Km. 7, El Alto, Bolivia"
David AirportDAV),Panama,"(8.537981, -80.782127)",Panama,"(8.3912038, -82.43182159999999)","Enrique Malek International Airport (DAV), David, Panama"
13 km8.1 mls) SE of Paris-Orly AirportORY),France,"(46.227638, 2.213749)",France,,
near El Sosneado,Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-35.0805157, -69.5828236)","El Sosneado, Mendoza, Argentina"
near Tora-Tonga,Sudan,"(12.862807, 30.217636)",Sudan,,
"Enken, Ayano-Maisky District",Russia,"(61.52401, 105.318756)",Russia,,
Aguadilla-Ramey AFBBQN),Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,"(18.4953957, -67.1355779)","Rafael Hernández Airport (BQN), 405 Hangar, Aguadilla Pueblo, Aguadilla 00604, Puerto Rico"
15 km9.4 mls) from  Calabozo,Venezuela,"(6.42375, -66.58973)",Venezuela,,
"Belém, PA",Brazil,"(-14.235004, -51.92528)",Brazil,"(-1.4557794, -48.4901968)","Belém - State of Pará, Brazil"
8 km5 mls) SE of Bunia AirportBUX)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA",,
Sverdlovsk-Koltsovo AirportSVX),Russia,"(61.52401, 105.318756)",Russia,"(56.7447746, 60.8029485)","Koltsovo Airport (SVX), ulitsa Bahchivandji, 1, Yekaterinburg, Sverdlovskaya oblast', Russia"
Southend Municipal AirportSEN),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.5698197, 0.7037369)","London Southend Airport (SEN), Rochford, Southend-on-Sea SS2 6YF, UK"
"near Hickory Airport, NCHKY)",United States of America,"(37.09024, -95.712891)",United States,"(35.741487, -81.3883051)","Hickory Regional Airport, 3101 9th Ave Dr NW, Hickory, NC 28601, USA"
Kota Tinggi,Malaysia,"(4.210484, 101.975766)",Malaysia,"(1.729375, 103.899227)","81900 Kota Tinggi, Johor, Malaysia"
"10 km6.3 mls) from  Stephenville-Harmon AFB, NFYJT)",Canada,"(56.130366, -106.346771)",Canada,,
"10 km6.3 mls) from  Stephenville-Harmon AFB, NFYJT)",Canada,"(56.130366, -106.346771)",Canada,,
"30 km18.8 mls) from  Caravelas, BA",Brazil,"(-14.235004, -51.92528)",Brazil,,
11 km6.9 mls) SE of Marburg,Germany,"(51.165691, 10.451526)",Germany,,
"Lincoln AFB, NELNK)",United States of America,"(37.09024, -95.712891)",United States,,
10 km6.3 mls) NE of Taipei-Sung Shan AirportTSA),Taiwan,"(23.69781, 120.960515)",Taiwan,,
near Chushul,India,"(20.593684, 78.96288)",India,"(33.6028996, 78.65608569999999)",Chushul 194201
"Buenos Aires-Jorge Newbery Airport, BAAEP)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.5580305, -58.4170088)","Aeroparque Internacional Jorge Newbery (AEP), Av. Costanera Rafael Obligado s/n, C1425 CABA, Argentina"
